,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
210,California State University--Long Beach,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-long-beach-1139\%22,"#32, Regional Universities (West)",30.85%,3.4,1140 / 24
211,California State University--Los Angeles,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-los-angeles-1140\%22,"RNP, Regional Universities (West)",67.52%,3.2,990 / 20
212,California State University--Monterey Bay,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-monterey-bay-32603\%22,"#66, Regional Universities (West)",44.40%,3.2,1080 / 24
213,California State University--Northridge,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-northridge-1153\%22,"#60, Regional Universities (West)",46.24%,3.2,1040 / 22
214,California State University--Sacramento,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-sacramento-1150\%22,"#66, Regional Universities (West)",69.68%,3.3,1060 / 22
215,California State University--San Bernardino,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-san-bernardino-1142\%22,"#57, Regional Universities (West)",58.30%,3.2,1000 / 20
216,California State University--San Marcos,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-san-marcos-30113\%22,"#70, Regional Universities (West)",61.92%,3.2,1070
217,California State University--Stanislaus,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-stanislaus-1157\%22,"#57, Regional Universities (West)",72.15%,3.3,1030 / 22
219,Calumet College of St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/calumet-college-of-st-joseph-1834\%22,"RNP, Regional Universities (Midwest)",32.97%,2.5,910 / 21
221,Calvin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/calvin-college-2241\%22,"#100, National Liberal Arts Colleges",75.55%,3.7,1360 / 30
224,Campbell University,http://premium.usnews.com/best-colleges/\%22/best-colleges/campbell-university-2913\%22,"#27, Regional Universities (South)",65.84%,3.8,1150 / 25
225,Campbellsville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/campbellsville-university-1959\%22,"#69, Regional Universities (South)",66.65%,3.2,1170 / 24
226,Canisius College,http://premium.usnews.com/best-colleges/\%22/best-colleges/canisius-college-2681\%22,"#27, Regional Universities (North)",73.88%,3.5,1190 / 28
228,Capital University,http://premium.usnews.com/best-colleges/\%22/best-colleges/capital-university-3023\%22,"#35, Regional Universities (Midwest)",74.92%,3.4,1200 / 27
230,Cardinal Stritch University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cardinal-stritch-university-3837\%22,"RNP, National Universities",42.11%,3.1,1084 / 24
236,Carnegie Mellon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carnegie-mellon-university-3242\%22,"#23, National Universities",27.77%,3.7,1520 / 33
237,Carroll College,http://premium.usnews.com/best-colleges/\%22/best-colleges/carroll-college-2526\%22,"#1, Regional Colleges (West)",62.24%,3.5,1210 / 26
238,Carroll University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carroll-university-3838\%22,"#38, Regional Universities (Midwest)",78.21%,3.4,N/A / 26
239,Carson-Newman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carson-newman-university-3481\%22,"#12, Regional Colleges (South)",65.58%,3.4,1115 / 25
240,Carthage College,http://premium.usnews.com/best-colleges/\%22/best-colleges/carthage-college-3839\%22,"#167, National Liberal Arts Colleges",70.10%,3.3,1280 / 27
242,Castleton State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/castleton-state-college-3683\%22,"RNP, National Liberal Arts Colleges",76.14%,2.9,1110 / 23
243,Catawba College,http://premium.usnews.com/best-colleges/\%22/best-colleges/catawba-college-2914\%22,"#17, Regional Colleges (South)",44.87%,3.3,1090 / 25
244,Cazenovia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cazenovia-college-2685\%22,"#23, Regional Colleges (North)",73.51%,3.2,1080 / 24
245,Cedar Crest College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cedar-crest-college-3243\%22,"#15, Regional Colleges (North)",61.21%,3.3,1110 / 23
246,Cedarville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cedarville-university-3025\%22,"#5, Regional Colleges (Midwest)",75.38%,3.7,1300 / 29
247,Centenary College,http://premium.usnews.com/best-colleges/\%22/best-colleges/centenary-college-2599\%22,"RNP, Regional Universities (North)",89.15%,2.9,990 / 22
248,Centenary College of Louisiana,http://premium.usnews.com/best-colleges/\%22/best-colleges/centenary-college-of-louisiana-2003\%22,"#167, National Liberal Arts Colleges",64.09%,3.5,1400 / 28
249,Central Baptist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-baptist-college-1093\%22,"RNP, Regional Colleges (South)",75.28%,3.4,970 / 23
252,Central College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-college-1850\%22,"#134, National Liberal Arts Colleges",65.40%,3.6,1120 / 26
253,Central Connecticut State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-connecticut-state-university-1378\%22,"#116, Regional Universities (North)",63.96%,3.0,1110
254,Central Methodist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-methodist-university-2453\%22,"#40, Regional Colleges (Midwest)",66.74%,3.4,N/A / 24
255,Central Michigan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-michigan-university-2243\%22,"#190, National Universities",63.78%,3.3,1160 / 25
257,Central State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-state-university-3026\%22,"RNP, Regional Colleges (Midwest)",36.73%,2.4,890 / 18
258,Central Washington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-washington-university-3771\%22,"#51, Regional Universities (West)",80.17%,3.1,1110 / 24
259,Centre College,http://premium.usnews.com/best-colleges/\%22/best-colleges/centre-college-1961\%22,"#49, National Liberal Arts Colleges",69.63%,3.7,1390 / 31
262,Chaminade University of Honolulu,http://premium.usnews.com/best-colleges/\%22/best-colleges/chaminade-university-of-honolulu-1605\%22,"#80, Regional Universities (West)",87.37%,3.3,1050 / 24
263,Champlain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/champlain-college-3684\%22,"#14, Regional Colleges (North)",73.94%,3.0,1230 / 28
265,Chapman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chapman-university-1164\%22,"#7, Regional Universities (West)",43.59%,3.7,1310 / 29
267,Charleston Southern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/charleston-southern-university-3419\%22,"RNP, Regional Universities (South)",82.22%,3.5,1100 / 24
269,Chatham University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chatham-university-3244\%22,"#48, Regional Universities (North)",59.56%,3.6,1170 / 28
270,Chestnut Hill College,http://premium.usnews.com/best-colleges/\%22/best-colleges/chestnut-hill-college-3245\%22,"#131, Regional Universities (North)",66.22%,3.2,1090 / 23
271,Cheyney University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/cheyney-university-of-pennsylvania-3317\%22,"RNP, Regional Universities (North)",87.17%,2.5,850
274,Chowan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chowan-university-2916\%22,"RNP, Regional Colleges (South)",57.94%,2.6,890 / 17
276,Christian Brothers University,http://premium.usnews.com/best-colleges/\%22/best-colleges/christian-brothers-university-3482\%22,"#24, Regional Universities (South)",48.33%,3.7,N/A / 27
277,Christopher Newport University,http://premium.usnews.com/best-colleges/\%22/best-colleges/christopher-newport-university-3706\%22,"#18, Regional Universities (South)",64.59%,3.7,1240 / 26
281,Claflin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/claflin-university-3424\%22,"RNP, National Liberal Arts Colleges",52.57%,3.0,1000 / 21
283,Clarion University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/clarion-university-of-pennsylvania-9235\%22,"RNP, Regional Universities (North)",76.70%,3.2,1080 / 22
284,Clark Atlanta University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clark-atlanta-university-1551\%22,"RNP, National Universities",68.52%,3.1,950 / 21
